,,STAC__@beta=0.25__@delta=0,"STAC__@beta=0.25__@delta_{@pi,Q}=0.01",STAC__@beta=0.25__@delta_{@pi}=0.01,STAC__@beta=0.25__@delta_{Q}=0.01,STAC__@beta=0.375__@delta=0,"STAC__@beta=0.375__@delta_{@pi,Q}=0.01",STAC__@beta=0.375__@delta_{@pi}=0.01,STAC__@beta=0.375__@delta_{Q}=0.01,STAC__@beta=0.125__@delta=0,"STAC__@beta=0.125__@delta_{@pi,Q}=0.01",STAC__@beta=0.125__@delta_{@pi}=0.01,STAC__@beta=0.125__@delta_{Q}=0.01,STAC__@beta=0__@delta=0,"STAC__@beta=0__@delta_{@pi,Q}=0.01",STAC__@beta=0__@delta_{@pi}=0.01,STAC__@beta=0__@delta_{Q}=0.01,STAC__@beta=0.5__@delta=0,"STAC__@beta=0.5__@delta_{@pi,Q}=0.01",STAC__@beta=0.5__@delta_{@pi}=0.01,STAC__@beta=0.5__@delta_{Q}=0.01
Ant-v4,avg_scores,4322.564094492389,5088.006837025897,4997.784879509578,4765.748851737047,,,,,,,,,,,,,,,,
Ant-v4,std_scores,2393.6332948811983,2295.8087111927753,2262.7865517791665,2547.687804269609,,,,,,,,,,,,,,,,
Ant-v4,last_score_iqm,6634.751767390292,6907.328406361743,6408.082035855837,6415.853371107162,,,,,,,,,,,,,,,,
BipedalWalker-v3,avg_scores,,,,,258.1904489243746,261.5075857824683,253.3096376005292,264.29979450702666,,,,,,,,,,,,
BipedalWalker-v3,std_scores,,,,,112.81795538479963,113.3329140855494,116.68102083182546,110.49299234792812,,,,,,,,,,,,
BipedalWalker-v3,last_score_iqm,,,,,304.73433757278156,308.004303554319,300.9455871582031,308.5209079958358,,,,,,,,,,,,
BipedalWalkerHardcore-v3,avg_scores,,,,,,,,,62.59029684759676,78.56752266959126,83.50066806911329,73.33027988694062,,,,,,,,
BipedalWalkerHardcore-v3,std_scores,,,,,,,,,137.58045127005354,138.5474911915823,143.2331716964502,137.25973743765468,,,,,,,,
BipedalWalkerHardcore-v3,last_score_iqm,,,,,,,,,103.17169240097594,118.81852895449968,159.9496410095614,106.23224178949992,,,,,,,,
HalfCheetah-v4,avg_scores,,,,,,,,,,,,,11413.82569334551,11291.7623675277,10804.03008983723,11193.684264023208,,,,
HalfCheetah-v4,std_scores,,,,,,,,,,,,,3143.886363095216,3095.671184099729,3095.3546492625856,2954.010053440059,,,,
HalfCheetah-v4,last_score_iqm,,,,,,,,,,,,,14569.324727967023,14489.531557916584,13903.243751752865,14052.673923892831,,,,
Hopper-v4,avg_scores,,,,,,,,,,,,,,,,,803.5453759209029,2614.3330515920634,808.7989574816711,2648.2413677674667
Hopper-v4,std_scores,,,,,,,,,,,,,,,,,415.7253148658906,1167.4171627119474,477.8988052416348,1142.0866183664
Hopper-v4,last_score_iqm,,,,,,,,,,,,,,,,,1004.732024430483,3363.6657731130726,1042.6277201935038,3368.542569758448
Humanoid-v4,avg_scores,5598.596240037291,5695.781590787113,6105.428749394762,5709.906704500044,,,,,,,,,,,,,,,,
Humanoid-v4,std_scores,2924.4483523074964,2748.944544954738,2739.0342433151804,2767.999676728791,,,,,,,,,,,,,,,,
Humanoid-v4,last_score_iqm,8300.75867661255,8277.892001930824,8726.245725081895,7661.99882323866,,,,,,,,,,,,,,,,
LunarLander-v3,avg_scores,,,,,,,,,,,,,171.1010420310102,201.62094150895265,176.87221101329763,210.47682379879117,,,,
LunarLander-v3,std_scores,,,,,,,,,,,,,147.72160468144617,135.01294516091696,144.93251083997419,126.594033313902,,,,
LunarLander-v3,last_score_iqm,,,,,,,,,,,,,251.64501389980467,265.7309962592911,252.50126015519928,261.73500380535694,,,,
Swimmer-v4,avg_scores,,,,,,,,,,,,,89.94132865791487,70.3478644765891,97.74870787528226,82.32707348694028,,,,
Swimmer-v4,std_scores,,,,,,,,,,,,,33.42062738444928,29.390223289339048,32.90697734284804,33.08180612314722,,,,
Swimmer-v4,last_score_iqm,,,,,,,,,,,,,119.1607305926433,103.68019931109788,125.03064635418013,114.71519992569586,,,,
Walker2d-v4,avg_scores,,,,,,,,,4423.503570391181,4571.269369733635,4829.66643165044,4462.49510017937,,,,,,,,
Walker2d-v4,std_scores,,,,,,,,,2328.20611351605,2146.577025765961,2383.8319578567857,1908.409617697933,,,,,,,,
Walker2d-v4,last_score_iqm,,,,,,,,,6198.713087689871,6306.4237037639305,6634.674749409116,5879.212891940218,,,,,,,,
