,,"STAC__@beta=0.0__@delta_{@pi,Q}=0.01","STAC__@beta=0.25__@delta_{@pi,Q}=0.01","STAC__@beta=0.5__@delta_{@pi,Q}=0.01","STAC__@beta=0__@delta_{@pi,Q}=0.01"
Ant-v4,auc_scores,3181.165631683241,5088.006837025897,4392.673209924582,
Ant-v4,max_scores,8882.27790732972,8179.372337150992,6313.25109952949,
Ant-v4,last_score_mean,4196.189250148814,6326.1945012768165,4242.479447617366,
Ant-v4,last_score_std,3044.0204539627907,2068.6868117493773,1889.0997732077112,
BipedalWalker-v3,auc_scores,,241.460396209836,249.41247047156097,171.45499733572007
BipedalWalker-v3,max_scores,,322.8853454589844,316.6646728515625,330.7778015136719
BipedalWalker-v3,last_score_mean,,210.58802579243977,237.53112634023032,163.4500494003296
BipedalWalker-v3,last_score_std,,134.84785321840332,138.6767993180209,162.19839381285988
BipedalWalkerHardcore-v3,auc_scores,,37.51232632743304,-42.833010113786656,73.24856634534001
BipedalWalkerHardcore-v3,max_scores,,309.1021423339844,3.2605769634246826,320.07305908203125
BipedalWalkerHardcore-v3,last_score_mean,,37.31933438181877,-59.71373992760976,47.82854534586271
BipedalWalkerHardcore-v3,last_score_std,,81.35211918960144,48.677117634423794,112.95029633869937
HalfCheetah-v4,auc_scores,,10769.511178589477,8528.931361743611,11291.7623675277
HalfCheetah-v4,max_scores,,15410.995027016288,12849.496024641745,15244.93372963352
HalfCheetah-v4,last_score_mean,,12800.11119730205,7563.418889342017,14065.643531549182
HalfCheetah-v4,last_score_std,,2344.2195234391374,3012.5053231200513,1853.8304758920765
Hopper-v4,auc_scores,1040.9005043019088,2107.532574750258,2614.3330515920634,
Hopper-v4,max_scores,3827.5602090570674,3814.735391404791,3568.2253257625875,
Hopper-v4,last_score_mean,1202.3613739617824,2553.686306075971,3091.776914779543,
Hopper-v4,last_score_std,343.4030038065017,1065.7656351433511,719.5166216229193,
Humanoid-v4,auc_scores,3753.444180533015,5695.781590787113,5402.008974468134,
Humanoid-v4,max_scores,8994.175088840353,8958.291717783597,7979.955740046859,
Humanoid-v4,last_score_mean,5976.008265215594,7751.9495030661155,5970.746318002308,
Humanoid-v4,last_score_std,2640.4517525743545,2127.9759153012615,2900.6709138338338,
LunarLander-v3,auc_scores,,99.68261575149805,-85.28454940067138,201.62094150895265
LunarLander-v3,max_scores,,308.9132963707641,225.43157806299286,326.43338370839524
LunarLander-v3,last_score_mean,,159.66953990880629,-86.00448174782532,254.70103322314657
LunarLander-v3,last_score_std,,62.377587214800506,42.56292613857864,59.48369230677568
Swimmer-v4,auc_scores,,54.47189338453717,43.44426278443381,70.3478644765891
Swimmer-v4,max_scores,,93.33500031228112,62.74836112461639,138.8672917491564
Swimmer-v4,last_score_mean,,68.47216959465733,45.77163821089279,92.37750734020234
Swimmer-v4,last_score_std,,17.05490028046767,2.229054144301178,24.368683476947396
Walker2d-v4,auc_scores,3164.140289262861,4834.882179441798,4690.118989629076,
Walker2d-v4,max_scores,7214.076809364482,6423.713310996815,6347.929100450957,
Walker2d-v4,last_score_mean,3794.184068938743,4882.707164472024,5354.6630149222865,
Walker2d-v4,last_score_std,2297.090795325351,2158.757020451515,858.7844503182462,
