,,@beta=0.0,@beta=0.125,@beta=0.25,@beta=0.375,@beta=0.5
Ant-v4,avg_scores,3181.165631683241,4623.572925256393,5088.006837025897,5084.538094878025,4392.673209924582
Ant-v4,std_scores,2642.9651992495733,2569.6097668346106,2295.8087111927753,1998.53108530746,1506.5685538274095
Ant-v4,last_score_iqm,5264.357581685831,7082.714052611429,6907.328406361743,6246.449716424416,4834.40911862931
BipedalWalker-v3,avg_scores,171.45499733572007,204.27226891155243,241.460396209836,261.5075857824683,249.41247047156097
BipedalWalker-v3,std_scores,163.30616050949664,156.66422027962764,131.8022441021771,113.3329140855494,123.96885210687853
BipedalWalker-v3,last_score_iqm,171.90346469519272,125.39496551369722,262.63461332501106,308.004303554319,305.1454709610849
BipedalWalkerHardcore-v3,avg_scores,73.24856634534001,78.56752266959126,37.51232632743304,-17.057661007431925,-42.833010113786656
BipedalWalkerHardcore-v3,std_scores,139.94519001989565,138.5474911915823,98.87228388711603,30.473983893403997,43.74893205375847
BipedalWalkerHardcore-v3,last_score_iqm,61.79141928557477,118.81852895449968,43.41670124291205,-0.03124793757854967,-59.76157058142369
HalfCheetah-v4,avg_scores,11291.7623675277,9815.377265596013,10769.511178589477,9938.334134161869,8528.931361743611
HalfCheetah-v4,std_scores,3095.671184099729,2794.4196186247186,3028.1915949145873,2441.2175595847316,2823.480633011373
HalfCheetah-v4,last_score_iqm,14489.531557916584,12299.561647366616,13385.41948411341,11042.107023840164,7602.740814021442
Hopper-v4,avg_scores,1040.9005043019088,1350.8184049556378,2107.532574750258,2620.2785839946855,2614.3330515920634
Hopper-v4,std_scores,515.1502118430375,858.7248595469393,1192.345033393125,1130.2479840273718,1167.4171627119474
Hopper-v4,last_score_iqm,1132.4339794790274,1308.7934810023644,2643.360540115907,3318.1525995731786,3363.6657731130726
Humanoid-v4,avg_scores,3753.444180533015,5245.132458572398,5695.781590787113,5480.353110425039,5402.008974468134
Humanoid-v4,std_scores,2973.3564399036736,3211.9057875218077,2748.944544954738,2404.123245160767,2387.675634922406
Humanoid-v4,last_score_iqm,5623.914082336885,8407.206851304229,8277.892001930824,7587.227010862375,6930.800016365905
LunarLander-v3,avg_scores,201.62094150895265,199.91760393438065,99.68261575149805,-23.857248441856157,-85.28454940067138
LunarLander-v3,std_scores,135.01294516091696,135.2611332615278,131.6601097842408,100.147746226805,77.21709738867327
LunarLander-v3,last_score_iqm,265.7309962592911,263.81499484263367,157.2218510863243,14.27979373996332,-77.7203555843987
Swimmer-v4,avg_scores,70.3478644765891,66.38462025570041,54.47189338453717,48.168812784069296,43.44426278443381
Swimmer-v4,std_scores,29.390223289339048,26.796792750873923,16.071809810795596,10.456094247989876,6.003636128220102
Swimmer-v4,last_score_iqm,103.68019931109788,93.50388819043211,70.03268517388875,54.246013547366644,45.85760113036667
Walker2d-v4,avg_scores,3164.140289262861,4571.269369733635,4834.882179441798,4949.611933546688,4690.118989629076
Walker2d-v4,std_scores,2203.5442248821346,2146.577025765961,1654.7464839334934,1449.04639542636,1361.2166710224456
Walker2d-v4,last_score_iqm,4299.200446782688,6306.4237037639305,5842.07227257699,5795.220354976252,5539.094071019555
